Fips,State_fips,Pop,State_pop,Ratio,Date,Proj_inc_deaths,True_inc_deaths,Naive_proj_deaths,Naive_true_deaths
37039,37,28515,10367022,0.0027505488075553423,20200725,131.0,148.0,0.3603218937897498,0.40708122351819065
37039,37,28515,10367022,0.0027505488075553423,20200801,152.0,188.0,0.41808341874841204,0.5171031758204043
37039,37,28515,10367022,0.0027505488075553423,20200808,162.0,195.0,0.44558890682396546,0.5363570174732918
37039,37,28515,10367022,0.0027505488075553423,20200815,208.0,186.0,0.5721141519715112,0.5116020782052937
37039,37,28515,10367022,0.0027505488075553423,20200822,149.0,176.0,0.409831772325746,0.48409659012974027
37039,37,28515,10367022,0.0027505488075553423,20200829,165.0,162.0,0.4538405532466315,0.44558890682396546
37039,37,28515,10367022,0.0027505488075553423,20200905,157.0,205.0,0.43183616278618875,0.5638625055488452
37039,37,28515,10367022,0.0027505488075553423,20200912,176.0,160.0,0.48409659012974027,0.44008780920885476
37039,37,28515,10367022,0.0027505488075553423,20200919,157.0,187.0,0.43183616278618875,0.514352627012849
37039,37,28515,10367022,0.0027505488075553423,20200926,171.0,198.0,0.4703438460919635,0.5446086638959577
37039,37,28515,10367022,0.0027505488075553423,20201003,171.0,189.0,0.4703438460919635,0.5198537246279596
37039,37,28515,10367022,0.0027505488075553423,20201010,177.0,139.0,0.4868471389372956,0.38232628425019255
37039,37,28515,10367022,0.0027505488075553423,20201017,162.0,169.0,0.44558890682396546,0.46484274847685286
37039,37,28515,10367022,0.0027505488075553423,20201024,162.0,215.0,0.44558890682396546,0.5913679936243986
37039,37,28515,10367022,0.0027505488075553423,20201031,198.0,230.0,0.5446086638959577,0.6326262257377288
37039,37,28515,10367022,0.0027505488075553423,20201107,221.0,229.0,0.6078712864697307,0.6298756769301734
37039,37,28515,10367022,0.0027505488075553423,20201114,223.0,154.0,0.6133723840848413,0.42358451636352273
37039,37,28515,10367022,0.0027505488075553423,20201121,200.0,252.0,0.5501097615110685,0.6931382995039462
37039,37,28515,10367022,0.0027505488075553423,20201128,257.0,214.0,0.7068910435417229,0.5886174448168432
37039,37,28515,10367022,0.0027505488075553423,20201205,242.0,298.0,0.6656328114283928,0.819663544651492
37039,37,28515,10367022,0.0027505488075553423,20201212,315.0,284.0,0.8664228743799328,0.7811558613457172
37039,37,28515,10367022,0.0027505488075553423,20201219,347.0,391.0,0.9544404362217037,1.0754645837541388
37039,37,28515,10367022,0.0027505488075553423,20201226,408.0,352.0,1.1222239134825795,0.9681931802594805
37039,37,28515,10367022,0.0027505488075553423,20210102,367.0,359.0,1.0094514123728107,0.9874470219123679
37039,37,28515,10367022,0.0027505488075553423,20210109,366.0,535.0,1.0067008635652552,1.4715436120421082
37039,37,28515,10367022,0.0027505488075553423,20210116,537.0,592.0,1.4770447096572188,1.6283248940727626
37039,37,28515,10367022,0.0027505488075553423,20210123,596.0,563.0,1.639327089302984,1.5485589786536578
37039,37,28515,10367022,0.0027505488075553423,20210130,583.0,592.0,1.6035699548047646,1.6283248940727626
37039,37,28515,10367022,0.0027505488075553423,20210206,622.0,747.0,1.7108413582994229,2.054659959243841
37039,37,28515,10367022,0.0027505488075553423,20210213,613.0,520.0,1.6860864190314249,1.430285379928778
37039,37,28515,10367022,0.0027505488075553423,20210220,515.0,448.0,1.4165326358910013,1.2322458657847934
37039,37,28515,10367022,0.0027505488075553423,20210227,421.0,310.0,1.157981047980799,0.8526701303421561
37039,37,28515,10367022,0.0027505488075553423,20210306,314.0,280.0,0.8636723255723775,0.7701536661154958
37039,37,28515,10367022,0.0027505488075553423,20210313,253.0,196.0,0.6958888483115016,0.5391075662808471
37039,37,28515,10367022,0.0027505488075553423,20210320,194.0,132.0,0.5336064686657364,0.3630724425973052
37039,37,28515,10367022,0.0027505488075553423,20210327,132.0,201.0,0.3630724425973052,0.5528603103186238
37039,37,28515,10367022,0.0027505488075553423,20210403,140.0,112.0,0.3850768330577479,0.30806146644619836
37039,37,28515,10367022,0.0027505488075553423,20210410,132.0,113.0,0.3630724425973052,0.3108120152537537
37039,37,28515,10367022,0.0027505488075553423,20210417,111.0,142.0,0.305310917638643,0.3905779306728586
37039,37,28515,10367022,0.0027505488075553423,20210424,130.0,137.0,0.3575713449821945,0.3768251866350819
37039,37,28515,10367022,0.0027505488075553423,20210501,132.0,124.0,0.3630724425973052,0.3410680521368624
37039,37,28515,10367022,0.0027505488075553423,20210508,130.0,126.0,0.3575713449821945,0.3465691497519731
37039,37,28515,10367022,0.0027505488075553423,20210515,115.0,82.0,0.3163131128688644,0.22554500221953808
37039,37,28515,10367022,0.0027505488075553423,20210522,85.0,99.0,0.2337966486422041,0.2723043319479789
37039,37,28515,10367022,0.0027505488075553423,20210529,77.0,117.0,0.21179225818176137,0.32181421048397507
37039,37,28515,10367022,0.0027505488075553423,20210605,85.0,67.0,0.2337966486422041,0.18428677010620792
37039,37,28515,10367022,0.0027505488075553423,20210612,69.0,119.0,0.18978786772131861,0.3273153080990857
37039,37,28515,10367022,0.0027505488075553423,20210619,80.0,72.0,0.22004390460442738,0.19803951414398463
37039,37,28515,10367022,0.0027505488075553423,20210626,67.0,73.0,0.18428677010620792,0.20079006295153998
37039,37,28515,10367022,0.0027505488075553423,20210703,61.0,15.0,0.1677834772608759,0.041258232113330136
37039,37,28515,10367022,0.0027505488075553423,20210710,37.0,49.0,0.10177030587954766,0.13477689157021178
37039,37,28515,10367022,0.0027505488075553423,20210717,40.0,37.0,0.11002195230221369,0.10177030587954766
37039,37,28515,10367022,0.0027505488075553423,20210724,45.0,53.0,0.1237746963399904,0.14577908680043314
37039,37,28515,10367022,0.0027505488075553423,20210731,54.0,65.0,0.14852963560798849,0.17878567249109725
37039,37,28515,10367022,0.0027505488075553423,20210807,78.0,101.0,0.2145428069893167,0.27780542956308957
37039,37,28515,10367022,0.0027505488075553423,20210814,120.0,90.0,0.3300658569066411,0.2475493926799808
37039,37,28515,10367022,0.0027505488075553423,20210821,118.0,230.0,0.3245647592915304,0.6326262257377288
37039,37,28515,10367022,0.0027505488075553423,20210828,217.0,262.0,0.5968690912395093,0.7206437875794997
37039,37,28515,10367022,0.0027505488075553423,20210904,324.0,392.0,0.8911778136479309,1.0782151325616942
37039,37,28515,10367022,0.0027505488075553423,20210911,416.0,366.0,1.1442283039430223,1.0067008635652552
37039,37,28515,10367022,0.0027505488075553423,20210918,397.0,544.0,1.091967876599471,1.4962985513101061
37039,37,28515,10367022,0.0027505488075553423,20210925,521.0,490.0,1.4330359287363332,1.3477689157021178
37039,37,28515,10367022,0.0027505488075553423,20211002,486.0,499.0,1.3367667204718963,1.3725238549701158
37039,37,28515,10367022,0.0027505488075553423,20211009,471.0,496.0,1.2955084883585661,1.3642722085474497
37039,37,28515,10367022,0.0027505488075553423,20211016,451.0,351.0,1.2404975122074593,0.9654426314519251
37039,37,28515,10367022,0.0027505488075553423,20211023,336.0,311.0,0.924184399338595,0.8554206791497114
37039,37,28515,10367022,0.0027505488075553423,20211030,272.0,285.0,0.7481492756550531,0.7839064101532726
37039,37,28515,10367022,0.0027505488075553423,20211106,228.0,196.0,0.627125128122618,0.5391075662808471
37039,37,28515,10367022,0.0027505488075553423,20211113,186.0,167.0,0.5116020782052937,0.45934165086174217
37039,37,28515,10367022,0.0027505488075553423,20211120,149.0,186.0,0.409831772325746,0.5116020782052937
37039,37,28515,10367022,0.0027505488075553423,20211127,147.0,82.0,0.40433067471063533,0.22554500221953808
37039,37,28515,10367022,0.0027505488075553423,20211204,113.0,136.0,0.3108120152537537,0.37407463782752653
37039,37,28515,10367022,0.0027505488075553423,20211211,123.0,151.0,0.3383175033293071,0.41533286994085666
37039,37,28515,10367022,0.0027505488075553423,20211218,146.0,145.0,0.40158012590307995,0.39882957709552463
37039,37,28515,10367022,0.0027505488075553423,20211225,164.0,112.0,0.45109000443907615,0.30806146644619836
37039,37,28515,10367022,0.0027505488075553423,20220101,144.0,193.0,0.39607902828796926,0.530855919858181
37039,37,28515,10367022,0.0027505488075553423,20220108,184.0,193.0,0.5061009805901829,0.530855919858181
37039,37,28515,10367022,0.0027505488075553423,20220115,261.0,285.0,0.7178932387719443,0.7839064101532726
37039,37,28515,10367022,0.0027505488075553423,20220122,372.0,290.0,1.0232041564105874,0.7976591541910493
37039,37,28515,10367022,0.0027505488075553423,20220129,345.0,401.0,0.9489393386065931,1.1029700718296922
37039,37,28515,10367022,0.0027505488075553423,20220205,430.0,502.0,1.1827359872487972,1.3807755013927818
37039,37,28515,10367022,0.0027505488075553423,20220212,453.0,568.0,1.2459986098225702,1.5623117226914345
37039,37,28515,10367022,0.0027505488075553423,20220219,561.0,483.0,1.543057881038547,1.3285150740492304
37039,37,28515,10367022,0.0027505488075553423,20220226,476.0,352.0,1.3092612323963428,0.9681931802594805
37039,37,28515,10367022,0.0027505488075553423,20220305,332.0,263.0,0.9131822041083736,0.723394336387055
37039,37,28515,10367022,0.0027505488075553423,20220312,233.0,159.0,0.6408778721603947,0.43733726040129944
37039,37,28515,10367022,0.0027505488075553423,20220319,150.0,136.0,0.41258232113330134,0.37407463782752653
37039,37,28515,10367022,0.0027505488075553423,20220326,127.0,116.0,0.3493196985595285,0.3190636616764197
37039,37,28515,10367022,0.0027505488075553423,20220402,115.0,41.0,0.3163131128688644,0.11277250110976904
37039,37,28515,10367022,0.0027505488075553423,20220409,55.0,43.0,0.15128018441554383,0.11827359872487972
37039,37,28515,10367022,0.0027505488075553423,20220416,41.0,76.0,0.11277250110976904,0.20904170937420602
37039,37,28515,10367022,0.0027505488075553423,20220423,60.0,29.0,0.16503292845332054,0.07976591541910492
37039,37,28515,10367022,0.0027505488075553423,20220430,33.0,42.0,0.0907681106493263,0.11552304991732437
37039,37,28515,10367022,0.0027505488075553423,20220507,33.0,1172.0,0.0907681106493263,3.2236432024548614
37041,37,13796,10367022,0.001330758244749553,20200620,122.95238,104.0,0.16361988982926423,0.1383988574539535
37041,37,13796,10367022,0.001330758244749553,20200627,100.308655,95.0,0.13348656937508338,0.12642203325120752
37041,37,13796,10367022,0.001330758244749553,20200704,119.399124,80.0,0.15889136887250993,0.10646065957996423
37041,37,13796,10367022,0.001330758244749553,20200711,100.119064,106.0,0.1332342703151619,0.1410603739434526
37041,37,13796,10367022,0.001330758244749553,20200718,120.17633,133.0,0.15992564272499282,0.17699084655169053
37041,37,13796,10367022,0.001330758244749553,20200725,131.0,148.0,0.17432933006219142,0.19695222022293382
37041,37,13796,10367022,0.001330758244749553,20200801,152.0,188.0,0.20227525320193204,0.25018255001291595
37041,37,13796,10367022,0.001330758244749553,20200808,162.0,195.0,0.21558283564942757,0.2594978577261628
37041,37,13796,10367022,0.001330758244749553,20200815,208.0,186.0,0.276797714907907,0.24752103352341684
37041,37,13796,10367022,0.001330758244749553,20200822,149.0,176.0,0.1982829784676834,0.23421345107592131
37041,37,13796,10367022,0.001330758244749553,20200829,165.0,162.0,0.21957511038367622,0.21558283564942757
37041,37,13796,10367022,0.001330758244749553,20200905,157.0,205.0,0.2089290444256798,0.2728054401736583
37041,37,13796,10367022,0.001330758244749553,20200912,176.0,160.0,0.23421345107592131,0.21292131915992846
37041,37,13796,10367022,0.001330758244749553,20200919,157.0,187.0,0.2089290444256798,0.24885179176816638
37041,37,13796,10367022,0.001330758244749553,20200926,171.0,198.0,0.22755965985217355,0.2634901324604115
37041,37,13796,10367022,0.001330758244749553,20201003,171.0,189.0,0.22755965985217355,0.2515133082576655
37041,37,13796,10367022,0.001330758244749553,20201010,177.0,139.0,0.23554420932067086,0.18497539602018787
37041,37,13796,10367022,0.001330758244749553,20201017,162.0,169.0,0.21558283564942757,0.22489814336267444
37041,37,13796,10367022,0.001330758244749553,20201024,162.0,215.0,0.21558283564942757,0.2861130226211539
37041,37,13796,10367022,0.001330758244749553,20201031,198.0,230.0,0.2634901324604115,0.3060743962923972
